epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
67,3643.65,0.8872,0.68375,1.04896,0.90504,0.78052,0.8583,0.54177,1.27768,0.91459,1.35553,0.000495291,0.000495291,0.000495291
68,3699.29,0.8629,0.65566,1.03735,0.96592,0.73295,0.85265,0.53694,1.28544,0.9046,1.36689,0.000481144,0.000481144,0.000481144
69,3753.62,0.8357,0.6687,1.03303,0.95445,0.72221,0.85224,0.54301,1.29499,0.89009,1.38334,0.000466997,0.000466997,0.000466997
70,3803.55,0.84177,0.62276,1.03327,0.85782,0.75342,0.85146,0.54188,1.30468,0.88187,1.40012,0.00045285,0.00045285,0.00045285
71,3854.01,0.81877,0.61877,1.01281,0.85125,0.75443,0.85717,0.55132,1.28926,0.88711,1.38852,0.000438703,0.000438703,0.000438703
72,3911.93,0.86851,0.69164,1.04841,0.86139,0.74296,0.85128,0.54305,1.30558,0.90191,1.39671,0.000424556,0.000424556,0.000424556
73,3962.35,0.84438,0.63863,1.00305,0.85396,0.72907,0.84664,0.52771,1.34038,0.92961,1.41007,0.000410409,0.000410409,0.000410409
74,4012.69,0.79215,0.61232,1.01197,0.85002,0.72902,0.83908,0.52546,1.34588,0.91334,1.39971,0.000396262,0.000396262,0.000396262
75,4061.36,0.84503,0.6359,1.01327,0.77801,0.81703,0.83584,0.51925,1.35719,0.89629,1.41079,0.000382115,0.000382115,0.000382115
76,4111.34,0.82164,0.61536,1.01012,0.78048,0.83479,0.83588,0.5227,1.33019,0.87772,1.39811,0.000367967,0.000367967,0.000367967
77,4160.65,0.81151,0.60832,0.99775,0.81737,0.78637,0.82249,0.51725,1.31819,0.86107,1.39305,0.00035382,0.00035382,0.00035382
78,4216.27,0.78714,0.6083,1.01786,0.83169,0.78222,0.833,0.51161,1.31499,0.86122,1.38661,0.000339673,0.000339673,0.000339673
79,4269.03,0.82252,0.60201,1.00912,0.8559,0.81899,0.85236,0.51006,1.32331,0.86672,1.3903,0.000325526,0.000325526,0.000325526
80,4321.75,0.72139,0.56055,0.96272,0.86958,0.74349,0.82005,0.51946,1.31816,0.85808,1.38502,0.000311379,0.000311379,0.000311379
81,4372.43,0.83292,0.59965,1.01283,0.88045,0.73724,0.82087,0.5231,1.3037,0.84491,1.37867,0.000297232,0.000297232,0.000297232
82,4425.06,0.79148,0.60474,1.00153,0.87503,0.73575,0.81796,0.53094,1.29095,0.84358,1.37226,0.000283085,0.000283085,0.000283085
83,4489.58,0.83413,0.62092,1.02337,0.87784,0.72842,0.82926,0.53811,1.29149,0.8637,1.37724,0.000268938,0.000268938,0.000268938
84,4570.97,0.72813,0.55091,0.97604,0.8802,0.72414,0.81586,0.52804,1.30267,0.87761,1.37846,0.000254791,0.000254791,0.000254791
85,4624.99,0.75159,0.5745,0.98943,0.81276,0.84778,0.84922,0.52364,1.31103,0.88766,1.38325,0.000240644,0.000240644,0.000240644
