epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
85,10082.9,0.80948,0.47159,1.0218,0.97004,0.94202,0.95162,0.60652,1.28365,0.57222,1.38372,0.0002105,0.0002105,0.0002105
86,10203.2,0.79356,0.46389,1.01161,0.96201,0.95164,0.95346,0.61649,1.2893,0.56393,1.38686,0.000198125,0.000198125,0.000198125
87,10312.1,0.78169,0.46131,0.99451,0.96948,0.94271,0.95769,0.62352,1.27645,0.56241,1.38784,0.00018575,0.00018575,0.00018575
88,10421.4,0.78528,0.4594,1.01269,0.96827,0.95113,0.95833,0.61603,1.2635,0.5565,1.38466,0.000173375,0.000173375,0.000173375
89,10543.6,0.75814,0.45466,0.99442,0.96524,0.95544,0.96046,0.61528,1.26013,0.55965,1.37691,0.000161,0.000161,0.000161
90,10701.7,0.75859,0.46702,1.01283,0.97218,0.95385,0.96074,0.62289,1.25979,0.55676,1.3676,0.000148625,0.000148625,0.000148625
91,10812.4,0.77326,0.47276,1.01465,0.96887,0.95125,0.95588,0.61467,1.27009,0.56326,1.37352,0.00013625,0.00013625,0.00013625
92,10923.9,0.73861,0.44878,0.99934,0.96829,0.95203,0.95573,0.60891,1.29406,0.56081,1.39436,0.000123875,0.000123875,0.000123875
93,11035.2,0.71953,0.42747,0.98687,0.97102,0.9562,0.96072,0.61451,1.28172,0.55096,1.39474,0.0001115,0.0001115,0.0001115
94,11155.2,0.707,0.41696,0.98703,0.96756,0.95503,0.96228,0.6188,1.26566,0.55475,1.39182,9.9125e-05,9.9125e-05,9.9125e-05
95,11271.5,0.68468,0.4053,0.98826,0.96606,0.9562,0.96177,0.616,1.26897,0.56114,1.39335,8.675e-05,8.675e-05,8.675e-05
96,11381,0.68049,0.39868,0.98035,0.97006,0.95008,0.96024,0.61385,1.27618,0.55859,1.39757,7.4375e-05,7.4375e-05,7.4375e-05
97,11488.1,0.68215,0.40642,0.98488,0.9705,0.94894,0.96015,0.61448,1.26944,0.55085,1.3918,6.2e-05,6.2e-05,6.2e-05
98,11631,0.66191,0.40035,0.96319,0.96771,0.9507,0.95977,0.61139,1.26568,0.54876,1.38879,4.9625e-05,4.9625e-05,4.9625e-05
99,11741.8,0.6589,0.39357,0.9666,0.97462,0.9459,0.95985,0.61344,1.26584,0.54973,1.38979,3.725e-05,3.725e-05,3.725e-05
100,11854.5,0.66889,0.40064,0.9779,0.97146,0.94318,0.95704,0.61161,1.26648,0.551,1.39023,2.4875e-05,2.4875e-05,2.4875e-05
